transmission_datetime,post_id,street_block,payment_type,session_start_dt,session_end_dt,meter_event_type,gross_paid_amt
3804403_11_06012017054601,684-05354,TOWNSEND ST 500,SMART CARD,2017-06-01T05:46:01.000,2017-06-01T14:00:00.000,NS,6.25
3804422_11_06012017054601,684-05065,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:46:01.000,2017-06-01T15:00:00.000,NS,7.5
125648624_4_06012017054602,386-03140,DRUMM ST 300,CREDIT CARD,2017-06-01T05:46:02.000,2017-06-01T13:00:00.000,NS,13.5
125648625_4_06012017054615,666-01300,SUTTER ST 100,CREDIT CARD,2017-06-01T05:46:15.000,2017-06-01T07:16:00.000,NS,1
125648631_4_06012017054620,380-01230,DAVIS ST 100,CASH,2017-06-01T05:46:20.000,2017-06-01T07:17:37.000,NS,1.1
125648627_4_06012017054622,386-03220,DRUMM ST 300,CREDIT CARD,2017-06-01T05:46:22.000,2017-06-01T10:13:51.000,NS,4
125648628_4_06012017054645,471-05150,HARRISON ST 500,CREDIT CARD,2017-06-01T05:46:45.000,2017-06-01T18:00:00.000,NS,9.75
125648632_4_06012017054652,470-05910,HOWARD ST 500,CASH,2017-06-01T05:46:52.000,2017-06-01T07:08:01.000,AT,0.25
125648629_4_06012017054657,109-13400,09TH AVE 1300,CREDIT CARD,2017-06-01T05:46:57.000,2017-06-01T11:00:00.000,NS,4.5
125648630_4_06012017054658,470-00590,HOWARD ST 0,CREDIT CARD,2017-06-01T05:46:58.000,2017-06-01T08:48:45.000,NS,7.25
3804342_11_06012017054701,893-00640,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:47:01.000,2017-06-01T18:00:00.000,NS,11.25
3804351_11_06012017054701,202-02240,02ND ST 200,CREDIT CARD,2017-06-01T05:47:01.000,2017-06-01T13:00:00.000,NS,2.7
3804405_11_06012017054701,684-05356,TOWNSEND ST 500,SMART CARD,2017-06-01T05:47:01.000,2017-06-01T14:00:00.000,NS,6.25
125648633_4_06012017054800,327-02110,BROADWAY 200,CREDIT CARD,2017-06-01T05:48:00.000,2017-06-01T11:00:00.000,NS,4.5
3804409_11_06012017054801,684-05353,TOWNSEND ST 500,SMART CARD,2017-06-01T05:48:01.000,2017-06-01T14:00:00.000,NS,6.25
3804436_11_06012017054801,684-05064,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:48:01.000,2017-06-01T15:00:00.000,NS,7.5
3804774_11_06012017054801,593-00038,OFARRELL ST 0,CREDIT CARD,2017-06-01T05:48:01.000,2017-06-01T17:00:00.000,NS,7.5
125648635_4_06012017054826,864-04720,SPEAR ST 400,CREDIT CARD,2017-06-01T05:48:26.000,2017-06-01T12:17:09.000,NS,18.5
125648639_4_06012017054830,701-14280,VAN NESS AVE 1400,CREDIT CARD,2017-06-01T05:48:30.000,2017-06-01T11:00:00.000,NS,4.5
125648636_4_06012017054831,820-01240,BRYANT ST 100,CREDIT CARD,2017-06-01T05:48:31.000,2017-06-01T14:22:30.000,NS,14.75
125648637_4_06012017054833,202-04180,02ND ST 400,CREDIT CARD,2017-06-01T05:48:33.000,2017-06-01T18:00:00.000,NS,24
125648638_4_06012017054840,202-02350,02ND ST 200,CREDIT CARD,2017-06-01T05:48:40.000,2017-06-01T11:00:00.000,NS,7
3804332_11_06012017054901,893-00400,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:49:01.000,2017-06-01T18:00:00.000,NS,11.25
3804410_11_06012017054901,684-05358,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:49:01.000,2017-06-01T15:00:00.000,NS,7.5
3804913_11_06012017054901,684-05765,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:49:01.000,2017-06-01T16:00:00.000,NS,8.75
125648640_4_06012017054924,201-02280,01ST ST 200,CREDIT CARD,2017-06-01T05:49:24.000,2017-06-01T11:00:00.000,NS,9
125648641_4_06012017054956,666-01230,SUTTER ST 100,CREDIT CARD,2017-06-01T05:49:56.000,2017-06-01T08:08:00.000,NS,4.25
125648642_4_06012017055002,658-03090,SPEAR ST 300,CREDIT CARD,2017-06-01T05:50:02.000,2017-06-01T10:55:43.000,NS,13.75
125648643_4_06012017055002,666-01190,SUTTER ST 100,CREDIT CARD,2017-06-01T05:50:02.000,2017-06-01T08:04:00.000,NS,4
125648644_4_06012017055013,447-01070,GREENWICH ST 100,CREDIT CARD,2017-06-01T05:50:13.000,2017-06-01T09:00:00.000,NS,6.5
3804384_11_06012017055101,684-05086,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:51:01.000,2017-06-01T15:30:14.000,NS,8.13
3804423_11_06012017055101,684-05105,TOWNSEND ST 500,SMART CARD,2017-06-01T05:51:01.000,2017-06-01T14:00:00.000,NS,6.25
3804915_11_06012017055101,684-05764,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:51:01.000,2017-06-01T15:30:14.000,NS,8.13
125648645_4_06012017055150,667-00250,SOUTH VAN NESS AVE 0,CREDIT CARD,2017-06-01T05:51:50.000,2017-06-01T06:06:50.000,NS,0.25
3804335_11_06012017055201,893-00510,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:52:01.000,2017-06-01T22:00:00.000,NS,12.25
3804411_11_06012017055201,684-05350,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:52:01.000,2017-06-01T14:00:00.000,NS,6.25
3804424_11_06012017055201,684-05075,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:52:01.000,2017-06-01T15:30:14.000,NS,8.13
3804430_11_06012017055201,684-05577,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:52:01.000,2017-06-01T13:05:16.000,NS,5.11
125648648_4_06012017055250,667-00250,SOUTH VAN NESS AVE 0,CREDIT CARD,2017-06-01T05:52:50.000,2017-06-01T07:51:50.000,AT,1.75
125648647_4_06012017055253,464-04290,HAYES ST 400,CREDIT CARD,2017-06-01T05:52:53.000,2017-06-01T12:00:00.000,NS,7.5
3804807_11_06012017055301,684-04091,TOWNSEND ST 400,CREDIT CARD,2017-06-01T05:53:01.000,2017-06-01T17:00:00.000,NS,10
125648649_4_06012017055304,470-06710,HOWARD ST 600,CREDIT CARD,2017-06-01T05:53:04.000,2017-06-01T10:00:00.000,NS,6.75
125648650_4_06012017055311,208-01210,08TH ST 100,CREDIT CARD,2017-06-01T05:53:11.000,2017-06-01T11:00:00.000,NS,6.5
125648651_4_06012017055359,464-04290,HAYES ST 400,CREDIT CARD,2017-06-01T05:53:59.000,2017-06-01T12:27:00.000,AT,2.25
3804321_11_06012017055401,891-00380,Pier 52 Lot,CREDIT CARD,2017-06-01T05:54:01.000,2017-06-01T14:30:14.000,NS,6.88
3804336_11_06012017055401,893-00420,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:54:01.000,2017-06-01T18:00:00.000,NS,11.25
125648656_4_06012017055417,593-17080,OFARRELL ST 1700,CASH,2017-06-01T05:54:17.000,2017-06-01T09:26:41.000,NS,1
125648653_4_06012017055428,666-01140,SUTTER ST 100,CREDIT CARD,2017-06-01T05:54:28.000,2017-06-01T08:28:00.000,NS,5.5
125648654_4_06012017055446,440-11130,GEARY BLVD 1100,CREDIT CARD,2017-06-01T05:54:46.000,2017-06-01T09:06:40.000,NS,0.25
3804311_11_06012017055501,580-01310,NATOMA ST 100,CREDIT CARD,2017-06-01T05:55:01.000,2017-06-01T14:20:18.000,NS,4.77
3804316_11_06012017055501,684-04721,TOWNSEND ST 400,CREDIT CARD,2017-06-01T05:55:01.000,2017-06-01T14:15:21.000,NS,6.57
3804390_11_06012017055501,684-04891,TOWNSEND ST 400,CREDIT CARD,2017-06-01T05:55:01.000,2017-06-01T13:15:21.000,NS,5.32
3804617_11_06012017055501,684-03661,TOWNSEND ST 300,CREDIT CARD,2017-06-01T05:55:01.000,2017-06-01T16:00:00.000,NS,17.25
125648655_4_06012017055507,593-17080,OFARRELL ST 1700,CREDIT CARD,2017-06-01T05:55:07.000,2017-06-01T09:33:20.000,NS,0.25
125648661_4_06012017055510,418-05310,FOLSOM ST 500,CASH,2017-06-01T05:55:10.000,2017-06-01T09:08:45.000,NS,0.4
3804317_11_06012017055601,684-04821,TOWNSEND ST 400,CREDIT CARD,2017-06-01T05:56:01.000,2017-06-01T14:00:00.000,NS,6.25
3804322_11_06012017055601,891-00150,Pier 52 Lot,CREDIT CARD,2017-06-01T05:56:01.000,2017-06-01T15:30:14.000,NS,8.13
3804634_11_06012017055601,869-08530,TERRY A FRANCOIS BLVD 800,CREDIT CARD,2017-06-01T05:56:01.000,2017-06-01T15:00:00.000,NS,7.5
125648660_4_06012017055605,658-03010,SPEAR ST 300,CREDIT CARD,2017-06-01T05:56:05.000,2017-06-01T09:30:00.000,NS,8.75
125648659_4_06012017055606,593-17080,OFARRELL ST 1700,CREDIT CARD,2017-06-01T05:56:06.000,2017-06-01T09:40:00.000,AT,0.25
125648662_4_06012017055626,658-03070,SPEAR ST 300,CREDIT CARD,2017-06-01T05:56:26.000,2017-06-01T09:42:52.000,NS,9.5
125648663_4_06012017055632,658-03010,SPEAR ST 300,CREDIT CARD,2017-06-01T05:56:32.000,2017-06-01T09:42:52.000,AT,0.75
125648667_4_06012017055655,440-11150,GEARY BLVD 1100,CASH,2017-06-01T05:56:55.000,2017-06-01T09:13:21.000,NS,0.5
125648664_4_06012017055712,201-02130,01ST ST 200,CREDIT CARD,2017-06-01T05:57:12.000,2017-06-01T11:00:00.000,NS,9
125648666_4_06012017055717,440-11150,GEARY BLVD 1100,CASH,2017-06-01T05:57:17.000,2017-06-01T09:33:21.000,AT,0.75
125648668_4_06012017055734,418-08150,FOLSOM ST 800,CREDIT CARD,2017-06-01T05:57:34.000,2017-06-01T11:00:00.000,NS,6.5
125648669_4_06012017055743,208-06260,08TH ST 600,CREDIT CARD,2017-06-01T05:57:43.000,2017-06-01T11:00:00.000,NS,4.5
125648670_4_06012017055744,665-01370,STEUART ST 100,CREDIT CARD,2017-06-01T05:57:44.000,2017-06-01T07:10:00.000,NS,0.25
